,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
499,울산광역시,울산,북구,유성주유소,울산 북구 산업로 1433 (신천동),울산 북구 산업로 1433 ,SK에너지,Y,N,N,N,Y,1275.0
500,울산광역시,울산,북구,지에스칼텍스(주) 무룡산셀프주유소,울산 북구 무룡1로 105 (연암동),울산 북구 무룡1로 105 ,GS칼텍스,Y,N,N,N,Y,1279.0
501,울산광역시,울산,북구,내트럭(주) 울산약수사업소,울산 북구 산업로 1515,울산 북구 산업로 1515,SK에너지,N,N,N,N,Y,1279.0
502,울산광역시,울산,북구,거북이주유소,울산 북구 방어진순환도로 1391,울산 북구 방어진순환도로 1391,SK에너지,Y,N,N,N,Y,1335.0
503,울산광역시,울산,북구,양정주유소,울산 북구 염포로 499 (양정동),울산 북구 염포로 499 ,현대오일뱅크,N,N,N,N,Y,1538.0
504,울산광역시,울산,울주군,현대오일뱅크 명성셀프주유소,울산 울주군 웅촌면 웅촌로 217,울산 울주군 웅촌면 웅촌로 217,현대오일뱅크,Y,N,N,N,Y,1253.0
505,울산광역시,울산,울주군,(주)흥연주유소,울산 울주군 웅촌면 웅촌로 377,울산 울주군 웅촌면 웅촌로 377,알뜰주유소,Y,N,N,N,Y,1253.0
506,울산광역시,울산,울주군,(주)좋은기름나라 웅촌지점,울산 울주군 웅촌면 웅촌로 724,울산 울주군 웅촌면 웅촌로 724,S-OIL,Y,N,N,N,Y,1255.0
507,울산광역시,울산,울주군,㈜오일석유 언양(서울)주유소/충전소,울산 울주군 언양읍 경부고속도로 44,울산 울주군 언양읍 경부고속도로 44,알뜰(ex),Y,N,N,N,Y,1263.0
508,울산광역시,울산,울주군,한마음주유소,울산 울주군 웅촌면 웅촌로 464,울산 울주군 웅촌면 웅촌로 464,현대오일뱅크,Y,N,N,N,Y,1264.0
509,울산광역시,울산,울주군,울산KTX셀프주유소,울산 울주군 언양읍 언양로 136,울산 울주군 언양읍 언양로 136,현대오일뱅크,Y,N,N,N,Y,1265.0
510,울산광역시,울산,울주군,범서주유소,울산 울주군 범서읍 송현길 83,울산 울주군 범서읍 송현길 83,현대오일뱅크,Y,N,N,N,Y,1268.0
