,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
65,경기도,경기,안산시,사동셀프주유소,경기 안산시 상록구 선진로 11 (사동),경기 안산시 상록구 선진로 11 ,SK에너지,Y,Y,N,N,N,1325.0
66,경기도,경기,안산시,신안산주유소,경기 안산시 단원구 고잔로 86 (고잔동),경기 안산시 단원구 고잔로 86 ,SK에너지,Y,Y,N,N,N,1325.0
67,경기도,경기,안산시,상림주유소,경기 안산시 상록구 서해로 2921 (건건동),경기 안산시 상록구 서해로 2921 ,SK에너지,Y,Y,N,N,N,1325.0
68,경기도,경기,안산시,(주)대한석유 한대역주유소,경기 안산시 상록구 광덕4로 357 (이동),경기 안산시 상록구 광덕4로 357 ,SK에너지,Y,Y,N,N,N,1325.0
69,경기도,경기,안산시,현대오일뱅크㈜직영 반월셀프주유소,경기 안산시 상록구 수인로 1226 (일동),경기 안산시 상록구 수인로 1226 ,현대오일뱅크,Y,Y,N,N,N,1325.0
70,경기도,경기,안산시,(주)북고개주유소,경기 안산시 상록구 수인로 1177,경기 안산시 상록구 수인로 1177,현대오일뱅크,Y,Y,N,N,N,1325.0
71,경기도,경기,안산시,대지석유 선부주유소,경기도 안산시 단원구  선부로 81 (선부동),경기도 안산시 단원구  선부로 81 ,S-OIL,Y,Y,N,N,N,1327.0
72,경기도,경기,안산시,(주)대지석유 산업주유소,경기 안산시 단원구 동산로 42 (원시동),경기 안산시 단원구 동산로 42 ,S-OIL,Y,Y,N,N,N,1327.0
73,경기도,경기,안산시,고속주유소,경기 안산시 상록구 가루개로 143 (양상동),경기 안산시 상록구 가루개로 143 ,SK에너지,N,Y,N,N,N,1328.0
74,경기도,경기,안산시,대웅주유소,경기 안산시 상록구 수인로 1733 (부곡동),경기 안산시 상록구 수인로 1733 ,S-OIL,Y,Y,N,N,N,1328.0
75,경기도,경기,안산시,(주)동강석유 남안산IC주유소,경기 안산시 단원구 성곡로 279 (신길동),경기 안산시 단원구 성곡로 279 ,S-OIL,Y,Y,N,N,N,1328.0
76,경기도,경기,안산시,지에스칼텍스(주)안산스타주유소,경기 안산시 단원구 달미로 72,경기 안산시 단원구 달미로 72,GS칼텍스,Y,Y,N,N,N,1329.0
77,경기도,경기,안산시,본오주유소,경기 안산시 상록구 석호로 369 (본오동),경기 안산시 상록구 석호로 369 ,SK에너지,Y,Y,N,N,N,1329.0
78,경기도,경기,안산시,서안산주유소,경기 안산시 단원구 시흥대로 65 (선부동),경기 안산시 단원구 시흥대로 65 ,S-OIL,N,Y,N,N,N,1329.0
79,경기도,경기,안산시,대상주유소,경기 안산시 단원구 순환로 157 (선부동),경기 안산시 단원구 순환로 157 ,GS칼텍스,N,Y,N,N,N,1329.0
80,경기도,경기,안산시,용담주유소,경기 안산시 상록구 해안로 1363 (팔곡일동),경기 안산시 상록구 해안로 1363 ,SK에너지,Y,Y,N,N,N,1335.0
81,경기도,경기,안산시,현대오일뱅크㈜직영 팔곡셀프주유소,경기 안산시 상록구 해안로 1295 (팔곡이동),경기 안산시 상록구 해안로 1295 ,현대오일뱅크,Y,Y,N,N,N,1335.0
82,경기도,경기,안산시,GS사동셀프주유소,경기 안산시 상록구 항가울로 22 (사동),경기 안산시 상록구 항가울로 22 ,GS칼텍스,Y,Y,N,N,N,1335.0
83,경기도,경기,안산시,자연주유소,경기 안산시 상록구 해안로 1172 (본오동),경기 안산시 상록구 해안로 1172 ,SK에너지,N,Y,N,N,N,1338.0
84,경기도,경기,안산시,장하주유소,경기 안산시 상록구 장하로 88 (장하동),경기 안산시 상록구 장하로 88 ,SK에너지,N,Y,N,N,N,1345.0
85,경기도,경기,안산시,대부주유소,경기 안산시 단원구 대부황금로 835 (대부동동),경기 안산시 단원구 대부황금로 835 ,SK에너지,N,Y,N,N,N,1346.0
86,경기도,경기,안산시,세광주유소,경기 안산시 상록구 성호로 268 (부곡동),경기 안산시 상록구 성호로 268 ,GS칼텍스,Y,Y,N,N,N,1347.0
87,경기도,경기,안산시,대부그린주유소,경기 안산시 단원구 대부황금로 691 (대부동동),경기 안산시 단원구 대부황금로 691 ,GS칼텍스,N,Y,N,N,N,1357.0
88,경기도,경기,안산시,신길중앙주유소,경기 안산시 단원구 삼일로 57 (신길동),경기 안산시 단원구 삼일로 57 ,현대오일뱅크,Y,Y,N,N,N,1362.0
89,경기도,경기,안산시,작전주유소,경기 안산시 단원구 대부황금로 780 (대부동동),경기 안산시 단원구 대부황금로 780 ,현대오일뱅크,N,Y,N,N,N,1365.0
90,경기도,경기,안산시,동현주유소,경기 안산시 단원구 대선로 237,경기 안산시 단원구 대선로 237,현대오일뱅크,N,Y,N,N,N,1368.0
91,경기도,경기,안산시,정진주유소,경기 안산시 단원구 대남로 52 (대부북동),경기 안산시 단원구 대남로 52 ,현대오일뱅크,N,Y,N,N,N,1369.0
92,경기도,경기,안산시,(주)세화주유소,경기 안산시 단원구 대부중앙로 174 (대부동동),경기 안산시 단원구 대부중앙로 174 ,S-OIL,N,Y,N,N,N,1369.0
93,경기도,경기,안산시,대성산업(주)안산공단주유소,경기 안산시 단원구 산단로 313,경기 안산시 단원구 산단로 313,GS칼텍스,N,Y,N,N,N,1378.0
94,경기도,경기,안산시,반월공단주유소,경기 안산시 단원구 시우로 46,경기 안산시 단원구 시우로 46,SK에너지,Y,Y,N,N,N,1378.0
95,경기도,경기,안산시,초지스타주유소,경기 안산시 단원구 초지로 106 (초지동),경기 안산시 단원구 초지로 106 ,GS칼텍스,Y,Y,N,N,N,1379.0
96,경기도,경기,안산시,케이비원대부도주유소,경기 안산시 단원구 대선로 489 (대부남동),경기 안산시 단원구 대선로 489 ,SK에너지,N,Y,N,N,N,1388.0
97,경기도,경기,안산시,신고속주유소,경기 안산시 상록구 석호로 367 (본오동),경기 안산시 상록구 석호로 367 ,GS칼텍스,N,Y,N,N,N,1390.0
98,경기도,경기,안산시,삼원주유소,경기 안산시 단원구 목내로 45,경기 안산시 단원구 목내로 45,GS칼텍스,Y,Y,N,N,N,1395.0
99,경기도,경기,안산시,현대오일뱅크㈜직영 제이셀프주유소,경기 안산시 단원구 선부광장로 33 (선부동),경기 안산시 단원구 선부광장로 33 ,현대오일뱅크,Y,Y,N,N,N,1395.0
100,경기도,경기,안산시,동해주유소,경기 안산시 상록구 선진6길 38 (사동),경기 안산시 상록구 선진6길 38 ,GS칼텍스,N,Y,N,N,N,1396.0
101,경기도,경기,안산시,(주)삼정주유소,경기 안산시 단원구 삼일로 122 (원곡동),경기 안산시 단원구 삼일로 122 ,현대오일뱅크,Y,Y,N,N,N,1398.0
102,경기도,경기,안산시,보령주유소,경기 안산시 상록구 용담로 188 (팔곡이동),경기 안산시 상록구 용담로 188 ,SK에너지,N,Y,N,N,N,1398.0
103,경기도,경기,안산시,역전주유소,경기 안산시 상록구 충장로6길 1 (이동),경기 안산시 상록구 충장로6길 1 ,현대오일뱅크,N,Y,N,N,N,1398.0
104,경기도,경기,안산시,안산고속주유소,경기 안산시 상록구 가루개로 56 (양상동),경기 안산시 상록구 가루개로 56 ,현대오일뱅크,N,Y,N,N,N,1399.0
105,경기도,경기,안산시,스마트허브주유소,경기 안산시 단원구 해봉로 204 (성곡동),경기 안산시 단원구 해봉로 204 ,GS칼텍스,N,Y,N,N,N,1399.0
106,경기도,경기,안산시,이마트24서비스 고잔주유소,경기 안산시 단원구 적금로 114 (고잔동),경기 안산시 단원구 적금로 114 ,SK에너지,Y,Y,N,N,N,1399.0
107,경기도,경기,안산시,(주)성홍 안산터미널주유소,경기도 안산시 상록구 충장로 431(성포동),경기도 안산시 상록구 충장로 431,S-OIL,N,Y,N,N,N,1399.0
108,경기도,경기,안산시,만해유업㈜ 만해주유소,경기 안산시 단원구 만해로 92 (신길동),경기 안산시 단원구 만해로 92 ,SK에너지,Y,Y,N,N,N,1408.0
109,경기도,경기,안산시,현대오일뱅크㈜직영 신도시셀프주유소,경기 안산시 상록구 예술광장1로 18,경기 안산시 상록구 예술광장1로 18,현대오일뱅크,Y,Y,N,N,N,1425.0
110,경기도,경기,안산시,MTV스마트주유소,경기도 안산시 단원구 시화호수로841번길 4,경기도 안산시 단원구 시화호수로841번길 4,GS칼텍스,Y,Y,N,N,N,1429.0
111,경기도,경기,안산시,(주)이든 내주유소,경기 안산시 단원구 중앙대로 391,경기 안산시 단원구 중앙대로 391,S-OIL,N,Y,N,N,N,1429.0
112,경기도,경기,안산시,도금단지주유소,경기 안산시 상록구 용담로 75 (팔곡이동),경기 안산시 상록구 용담로 75 ,현대오일뱅크,N,Y,N,N,N,1438.0
113,경기도,경기,안산시,현대오일뱅크㈜직영 동양주유소,경기 안산시 단원구 중앙대로 351 (신길동),경기 안산시 단원구 중앙대로 351 ,현대오일뱅크,N,Y,N,N,N,1465.0
114,경기도,경기,안산시,서안산IC주유소,경기 안산시 단원구 중앙대로 224 (신길동),경기 안산시 단원구 중앙대로 224 ,GS칼텍스,N,Y,N,N,N,1475.0
115,경기도,경기,안산시,SK에너지(주)직영 새천년주유소,경기 안산시 단원구 정왕대로 424 (신길동),경기 안산시 단원구 정왕대로 424 ,SK에너지,N,Y,N,N,N,1482.0
116,경기도,경기,안산시,현대오일뱅크㈜직영 안산중앙주유소,경기 안산시 단원구 화정로 96 (와동),경기 안산시 단원구 화정로 96 ,현대오일뱅크,N,Y,N,N,N,1485.0
117,경기도,경기,안산시,시화주유소,경기 안산시 단원구 대부황금로 1435 (대부북동),경기 안산시 단원구 대부황금로 1435 ,현대오일뱅크,N,Y,N,N,N,1489.0
118,경기도,경기,안산시,대양석유(주) 국도주유소,경기 안산시 상록구 수인로 647 (사사동),경기 안산시 상록구 수인로 647 ,GS칼텍스,N,Y,N,N,N,1498.0
119,경기도,경기,안산시,세방주유소,경기 안산시 상록구 성호로 40 (일동),경기 안산시 상록구 성호로 40 ,GS칼텍스,N,Y,N,N,N,1537.0
120,경기도,경기,안산시,SK에너지(주)시화공단주유소,경기 안산시 단원구 번영로 109 (성곡동),경기 안산시 단원구 번영로 109 ,SK에너지,N,Y,N,N,N,1538.0
121,서울특별시,서울,동대문구,풍한주유소,서울 동대문구 안암로 168,서울 동대문구 안암로 168,SK에너지,N,Y,N,N,N,1285.0
122,서울특별시,서울,동대문구,(주)경동주유소,서울 동대문구 이문로 191 (이문동),서울 동대문구 이문로 191 ,S-OIL,Y,Y,N,N,N,1298.0
123,서울특별시,서울,동대문구,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),서울 동대문구 왕산로 289 ,GS칼텍스,Y,Y,N,N,N,1298.0
124,서울특별시,서울,동대문구,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),서울 동대문구 고산자로 405 ,GS칼텍스,N,Y,N,N,N,1308.0
125,서울특별시,서울,동대문구,(주)파랑에너지,서울 동대문구 망우로 1,서울 동대문구 망우로 1,GS칼텍스,Y,Y,N,N,N,1317.0
126,서울특별시,서울,동대문구,재정주유소,서울 동대문구 전농로 121 (전농동),서울 동대문구 전농로 121 ,현대오일뱅크,N,Y,N,N,N,1319.0
127,서울특별시,서울,동대문구,재정제2주유소,서울 동대문구 사가정로 90 (전농동),서울 동대문구 사가정로 90 ,현대오일뱅크,Y,Y,N,N,N,1319.0
128,서울특별시,서울,동대문구,동일석유(주)강남주유소,서울특별시 동대문구  사가정로 103 (전농동),서울특별시 동대문구  사가정로 103 ,SK에너지,N,Y,N,N,N,1329.0
